"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Scythe","Otter","Classic","420","152","315","20.11","638.40","3.25","Steel","SECC Steel","66","-","-","220","70","","","4","mITX / mATX","SFX","2","2","1","-","-","2","-","-","-","-","-","2","1","-","Y","-","","","","","14 Apr 2023",""
"Cascade Labs","SUB-20","Classic","352","202","285","20.26","711.04","","Steel","Steel","175","120 / 240 / 4 x 240","-","342","180","80","4","-","mITX / mATX","SFX / SFX-L / ATX","","?","-","-","-","-","-","3 to 9","0 to 6","-","-","-","","1","-","-","199.00","","","","15 Jun 2023",""
"Jonsplus","Z20","Classic","370","186","295","20.30","688.20","5","Glass","SPCC Steel","160","120 / 240","-","363","165","80","4","-","mITX / mATX","ATX","3","1","-","-","-","-","0 to 1","0 to 5","0 to 4","-","-","-","1","1","Y","?","","","","","17 Jan 2024",""
"Deng Studio","W20","Classic","348","187","312","20.30","650.76","5.5","Glass","5-8mm 6061-T6 Al","158","120 / 140 / 240 / 280","-","330","163","60","2","-","mITX","SFX","4","-","-","-","-","-","2","0 to 4","0 to 4","-","-","-","1","1","Y","1,799.00","248.94","","","Discontinued","25 May 2023",""
"AC Mod","虚数空间360i","Sandwich","297","170","403","20.35","504.90","","Al","3mm Al","70","120 / 240 / 360","Y","330","","62","3","-","mITX","ATX","","-","-","-","-","-","-","3","-","-","-","-","","-","-","1,299.00","179.75","","","","",""
"Deng Studio","F15 MAX","Classic","355","195","294","20.35","692.25","9","Glass","6061-T6 Al","165","120 / 140 / 240 / 280","-","335","170","80","4","-","mITX / mATX","SFX / SFX-L / ATX","","0 to 1","-","-","-","-","-","1 to 5","0 to 4","-","-","-","","1","-","1,999.00","276.62","","","","25 May 2023",""
"Kolink","ROCKET COMPLEX","Sandwich","212.5","214.5","448.5","20.44","455.81","4.45","Glass / Al","2mm Al + Steel","110","120 / 240","Y","330","","56","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","2","-","-","-","-","1","1","-","-","190.40","","","","24 Nov 2021",""
"SKTC","A03","Sandwich","393","161","324","20.50","632.73","","Acrylic","Al","90","120 / 240","Y","300","","40","2","-","mITX / mATX (245x225)","ATX","","0 to 1","-","-","-","-","-","3","-","-","-","-","2","-","Y","399.00","55.21","","","","",""
"Mechanic Master","C+ Max","Classic","392","185","284","20.60","725.20","5.7","Acrylic / Glass","2mm Al + 1mm Steel","162","120 / 240","-","385","167","80","4","-","mITX / mATX","SFX / SFX-L / ATX","1","1 to 2","-","-","-","-","-","3 to 6","0 to 2","-","-","-","1","1","-","849.00","117.48","","","","25 May 2023",""
"AKLLA","A6M-atx","Classic","350","190","310","20.62","665.00","3","Glass / Mesh","T6 Al","165","120 / 140 / 240 / 280","-","345","170","80","4","-","mITX / mATX","SFX / SFX-L / ATX","","0 to 2","-","-","-","-","-","0 to 4","0 to 4","-","-","-","","1","-","799.00","110.56","","","","25 May 2023",""
