"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"兆方数码专营店","Pado N1","Sandwich","325","140","220","10.01","455.00","","Acrylic","1.5-2mm Al","60","-","Y","320","","40","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","2","-","-","-","-","2","-","-","399.00","55.21","","","","03 Sep 2021",""
"Streacom","FC9 Alpha","Classic","289","348","100","10.06","1005.72","4.4","Al","4mm 6063 Al","","-","-","156","","60","","3","mITX / mATX","DC-ATX / Flex ATX","","1 to 3","1 (Slot)","-","-","-","-","-","-","-","-","-","2","-","-","","","","","","05 Jun 2022",""
"BRZHiFi","Cube-6","Classic","216","216","216","10.08","466.56","3.3","Al","3-8mm Al","165","-","-","200","170","40","2","-","mITX","SFX / SFX-L","","0 to 2","-","-","-","-","-","0 to 1","0 to 1","-","-","-","2","-","-","380.00","52.58","","","","25 May 2023",""
"SFFtime","P-ATX V2","Console","378","78","342","10.08","294.84","2.8","Steel","0.8-2mm Steel","59","92 / 120","Y","370","140","62","3","-","mITX / mDTX / mATX / ATX","SFX / SFX-L","","0 to 2","-","-","-","-","0 to 1","0 to 1","-","-","-","-","2","-","-","","179.00","Link","Link","Discontinued","03 Jan 2022",""
"U-NAS","NSC-410","NAS","263","195","197","10.10","512.85","4.1","Al","Steel","40","-","-","","","","1","-","mITX","Flex ATX","3","4","-","-","-","-","-","1","-","-","-","1","2","-","Y","","159.00","","","","10 Jun 2022",""
"Fractal Design","Node 202","Console","330","82","377","10.20","270.60","3.5","Plastic","Plastic + Steel","56","-","Y","310","145","47","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","0 to 2","-","-","-","-","2","-","Y","","86.00","","Link","","24 Mar 2022",""
"臻致设计的工业与艺术","PDL-JX-D1","Sandwich","357","143","200.1","10.22","510.51","1.25","Al","3mm 6061 Al","60","-","Y","331","140","56","2","-","mITX","SFX / SFX-L","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","2,199.00","304.29","","","Discontinued","12 Feb 2022",""
"ZZAW","B2","Sandwich","312","140","235","10.26","436.80","2","Acrylic / Al","1.5-3mm Al","60","-","Y","300","133","53","2","-","mITX","SFX / SFX-L","2","0 to 1","-","-","-","-","-","2","-","-","-","-","2","-","-","398.00","55.07","","","","02 Jan 2022",""
"Kyle's Studio","Cube X1","Sandwich","310","138","240","10.27","427.80","3.5","Acrylic / Al","3mm Al","55","120 / 240","Y","300","135","54.5","2","-","mITX","SFX","","-","-","-","-","-","-","2 to 3","-","-","-","-","-","-","-","689.00","95.34","","","","30 Apr 2022",""
"Ultra Civilz","A4F-XL","Sandwich","308","139","240","10.27","428.12","","Al","Al","68","-","Y","300","158","45","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","4","-","-","-","-","-","-","-","999.00","138.24","","","Discontinued","03 Sep 2021",""
"ZZAW","B1","Sandwich","310","140","237","10.29","434.00","1.7","Acrylic / Al","1.5-2mm Al","60","-","Y","305","133","53","2","-","mITX","SFX / SFX-L","2","0 to 1","-","-","-","-","-","2","-","-","-","-","2","-","-","368.00","50.92","","","","",""
"ZS Cases","ZS-A4 V3 (with 46mm top hat)","Sandwich","320","134","240","10.29","428.80","2.1","Al","4mm Al","65","120 / 240 /w top hat","Y","314.5","133","59","2","-","mITX","SFX","","-","-","-","-","-","-","1 to 3","-","-","-","-","-","-","-","900.00","170.00","","Link","","06 Dec 2022",""
