"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"LZmod","DC-M1","APU","180","190","55.28","1.89","342.00","1.3","Al","3mm 6061-T6 Al","36.9","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","318.00","44.00","","","","",""
"ASRock","DeskMini A300","APU","155","80","155","1.92","124.00","","Steel","Steel","46","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","-","149.99","Link","","","",""
"ASRock","DeskMini B660","APU","155","80","155","1.92","124.00","","Steel","Steel","46","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","-","199.99","","","","14 May 2022",""
"ASRock","DeskMini H470","APU","155","80","155","1.92","124.00","","Steel","Steel","46","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","-","194.99","","","","17 Feb 2022",""
"ASRock","DeskMini X300","APU","155","80","155","1.92","124.00","","Steel","Steel","46","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","-","169.99","","","","",""
"Custom_Mod","SL1 stl 2.1L rev.1","APU","187","190","60","2.13","355.30","","Steel","1mm Steel","43","-","-","-","-","-","-","-","mITX","DC-ATX","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","42.00","","","Discontinued","15 Sep 2023",""
"LLW's Workshop","V21 Pro","APU","181","60","198","2.15","108.60","","Al","3mm 6061-T6 Al","38","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","329.00","45.53","","","","",""
"Custom_Mod","SL1 stl 2.1L rev.3","APU","190","190","60","2.17","361.00","0.85","Steel","1mm Steel","43","-","-","-","-","-","-","-","mITX","DC-ATX","1","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","42.19","","","","15 Sep 2023",""
"SGPC","K17","APU","179","48","258","2.22","85.92","0.4","Al","1.5-2mm Al","30","-","-","-","-","-","-","-","mITX","Flex ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","199.00","27.54","","","Discontinued","03 Sep 2021",""
"LZmod","STX-X300-X1","APU","157","157","91","2.24","246.49","1.2","Al","T6 Al","48","-","-","-","-","-","-","-","mSTX","External","2","-","-","-","-","-","-","-","-","-","-","-","1","1","Y","1,199.00","165.91","","","Discontinued","22 Nov 2022",""
"OnLogic","MC500","APU","198.1","192.6","59.3","2.26","381.54","","Steel","Steel","32","-","-","-","-","-","-","-","mITX","DC-ATX","4","-","-","-","-","-","-","-","-","-","-","-","2","-","-","-","65.00","","","","02 Feb 2023",""
"Sirius Case / 天狼星机箱","T40","APU","186","208","61","2.36","386.88","0.83","Al","3mm 6061 Al","44","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","250.00","34.59","","","Discontinued","",""
"Realan","E-H60","APU","200","200","60","2.40","400.00","0.76","Al","3.5mm Al","34","-","-","-","-","-","-","-","mITX","DC-ATX","","0 to 1","-","-","-","-","-","-","-","-","-","1","-","-","-","-","51.99","","","","",""
"Mini-Box","M350","APU","210","192","62","2.50","403.20","","Steel","Steel","40","-","-","-","-","-","-","-","mITX","DC-ATX","","-","-","0 to 5","-","-","-","-","-","-","-","-","2","-","-","-","39.95","","","","",""
