Brand,Cooler,Type,Length (mm),Width (mm),Height (mm),Weight (g),Heatsink Material,Heatpipes,TDP (W),RAM Clearance (mm),Fans,Fan Size (mm),Max Fan Speed (RPM),Max Air Flow (CFM),Max Static Pressure (mmH2O),Max Noise (dB(A)),AMD FM1 / FM2(+) / AM2(+) / AM3(+),AMD AM4 / AM5,Intel 775,Intel 115X / 1200,Intel 1366,Intel 1700,Intel 2011 / 2066,Remarks
Thermaltake,Engine 17,Top Down,91.5,91.5,17,205,Al,-,35,No limit,1,60x60x12.6,2500,8.90,2.40,23.00,-,-,-,Y,-,?,-,
Metalfish,Z22,Blower,95,84,22,380,Al,-,84,No limit,1,50x50x?,3000,41.00,?,40.00,-,-,Y,Y,-,?,-,
ID-Cooling,IS-20i,Top Down,91,91,23,140,Al,-,45,No limit,1,80x80x10,2700,21.80,1.52,23.00,-,-,-,Y,-,?,-,
ID-Cooling,IS-25i,Top Down,88,92,27,240,Al,2,75,No limit,1,80x80x10,2700,21.80,1.52,25.00,-,-,-,Y,-,?,-,
ID-Cooling,IS-27i,Top Down,92,92,27,200,Al,2,65,No limit,1,80x80x10,2700,21.80,1.52,25.00,-,-,-,Y,-,Y,-,
Thermaltake,Engine 27,Top Down,91.5,91.5,27,310,Al,-,70,No limit,1,60x60x21,2500,9.20,3.10,25.00,-,-,-,Y,-,?,-,
Zalman,CNPS2X,Top Down,84,84,27,83,Copper,1,60,No limit,1,80x80x10,2600,?,?,22.70,Y,-,-,Y,-,?,-,
Thermolab/Cooltek,ITX30,Top Down,94,100,30,300,Copper,2,100,No limit,1,80x80x10,2500,?,?,27.00,-,-,-,Y,-,?,-,
ID-Cooling,IS-30,Top Down,93,100,30,310,Al,4,100,No limit,1,92x92x12,3600,40.00,2.20,35.80,Y,Y,-,Y,-,Y,-,
ID-Cooling,IS-30A,Top Down,94,94,30,250,Al,4,100,No limit,1,92x92x12,3600,40.00,2.20,35.80,-,Y,-,-,-,-,-,
ID-Cooling,IS-30i,Top Down,94,94,30,250,Al,4,100,No limit,1,92x92x12,3600,40.00,2.20,35.80,-,-,-,Y,-,Y,-,
Scythe,S950M,Top Down,95,95,31,200,Al,-,?,No limit,1,92x92x17,2700,?,?,25.00,-,-,-,Y,-,?,-,
Reeven,Vanxie,Top Down,98,80,34,185,Al,2,65,No limit,1,80x80x10.8,3300,24.82,1.98,32.50,Y,Y,Y,Y,Y,?,-,
Scythe,Kodati,Top Down,82.5,95,34,180,Al,2,65,No limit,1,80x80x10,3300,24.82,1.99,32.50,Y,-,Y,Y,-,?,-,
Silverstone,NT08-115XP,Top Down,101,101,34,292,Al,-,65,No limit,1,80x80x10,3400,15.98,2.43,28.98,-,-,-,Y,-,?,-,
Jonsbo,HP400,Top Down,92,103,36,380,Al,4,110,No limit,1,92x92x15,3000,48.30,3.24,33.00,Y,Y,Y,Y,-,?,-,
Metalfish,Z36,Top Down,103,92,36,380,Al,2,110,No limit,1,92x92x15,3000,45.00,?,33.00,Y,Y,Y,Y,-,?,-,
Thermalright,AXP90-X36,Top Down,94.5,95,36,230,Al,4,95,No limit,1,92x92x15,2700,42.58,1.33,22.40,-,Y,-,Y,-,Y,-,
Thermalright,AXP90-X36 BLACK,Top Down,94.5,95,36,230,Al,4,95,No limit,1,92x92x15,2700,42.58,1.33,22.40,-,Y,-,Y,-,Y,-,
Noctua,NH-L9a,Top Down,92,114,37,465,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,Y,Y,-,-,-,-,-,
Noctua,NH-L9a-AM4,Top Down,92,114,37,465,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,-,Y,-,-,-,-,-,
Noctua,NH-L9a-AM4 chromax.black,Top Down,92,114,37,465,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,-,Y,-,-,-,-,-,
Noctua,NH-L9a-AM5,Top Down,92,114,37,465,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,-,Y,-,-,-,-,-,
Noctua,NH-L9a-AM5 chromax.black,Top Down,92,114,37,465,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,-,Y,-,-,-,-,-,
Noctua,NH-L9i,Top Down,95,95,37,385,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,-,Y,-,Y,-,-,-,
Noctua,NH-L9i chromax.black,Top Down,95,95,37,385,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,-,Y,-,Y,-,-,-,
Noctua,NH-L9i-17xx,Top Down,95,95,37,385,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,-,-,-,-,-,Y,-,
Noctua,NH-L9i-17xx chromax.black,Top Down,95,95,37,385,Al,2,Note,No limit,1,92x92x14,2500,33.90,2.11,23.60,-,-,-,-,-,Y,-,
Silverstone,AR05,Top Down,92,104,37,138,Al,2,65,No limit,1,92x92x15,2500,40.20,?,28.30,Y,-,-,Y,-,?,-,
Iceberg Thermal,IceFLOE T65,Top Down,100,88,38,309,Al,3,65,No limit,1,80x80x25,3000,37.60,3.02,31.50,Y,Y,Y,Y,Y,?,-,
Scythe,Jitte,Top Down,82,106,39,250,Al,4,?,No limit,1,80x80x10,3000,25.80,?,30.70,Y,Y,Y,Y,-,?,-,
Scythe,Jitte Plus (Single fan),Top Down,82,106,39,250,Al,4,?,No limit,1,80x80x10,3000,25.80,?,30.70,Y,Y,Y,Y,-,?,-,
Metalfish,Z39,Top Down,92,103,39,380,Al,4,110,No limit,1,92x92x15,3000,45.00,?,33.00,Y,Y,Y,Y,-,?,-,
Cooler Master,MasterAir G200P,Top Down,95,92,39.4,390,Al,2,95,No limit,1,92x92x15.4,2600,35.50,2.40,28.00,Y,Y,-,Y,-,?,-,
